time,active_elements,nozzle_x,nozzle_z,layer,progress
25.109000000007704,2125,57.59499999965392,3.0,15,0.30371749210411836
25.209000000007826,2134,53.09499999964844,3.0,15,0.30492708823341225
25.30900000000795,2143,48.594999999642894,3.0,15,0.3061366843627061
25.40900000000807,2152,44.09499999963741,3.0,15,0.30734628049199997
25.509000000008193,2161,39.59499999963186,3.0,15,0.3085558766212938
25.609000000008315,2170,35.094999999626424,3.0,15,0.3097654727505877
25.709000000008437,2179,30.594999999620942,3.0,15,0.3109750688798816
25.80900000000856,2188,26.094999999615396,3.0,15,0.3121846650091754
25.90900000000868,2197,21.59499999960991,3.0,15,0.3133942611384693
26.009000000008804,2206,17.094999999604365,3.0,15,0.31460385726776313
26.109000000008926,2215,12.59499999959893,3.0,15,0.315813453397057
26.20900000000905,2224,8.094999999593444,3.0,15,0.31702304952635085
26.30900000000917,2233,3.594999999587898,3.0,15,0.31823264565564474
26.409000000009293,2240,0.25,3.046200000016701,15,0.31944224178493863
26.509000000009415,2242,0.9050000004229737,3.2,16,0.32065183791423246
26.609000000009537,2251,5.405000000428459,3.2,16,0.32186143404352635
26.70900000000966,2260,9.905000000434004,3.2,16,0.3230710301728202
26.80900000000978,2269,14.40500000043944,3.2,16,0.3242806263021141
26.909000000009904,2278,18.905000000444925,3.2,16,0.3254902224314079
27.009000000010026,2287,23.40500000045047,3.2,16,0.3266998185607018
27.10900000001015,2296,27.905000000455956,3.2,16,0.3279094146899956
27.20900000001027,2305,32.405000000461506,3.2,16,0.3291190108192895
27.309000000010393,2314,36.90500000046694,3.2,16,0.3303286069485834
27.409000000010515,2323,41.40500000047243,3.2,16,0.33153820307787724
27.509000000010637,2332,45.90500000047797,3.2,16,0.3327477992071711
27.60900000001076,2341,50.405000000483454,3.2,16,0.33395739533646496
27.70900000001088,2350,54.905000000489004,3.2,16,0.33516699146575885
27.809000000011004,2359,59.40500000049444,3.2,16,0.3363765875950527
27.909000000011126,2368,63.905000000499925,3.2,16,0.33758618372434657
28.00900000001125,2377,68.40500000050547,3.2,16,0.33879577985364046
28.10900000001137,2380,69.75,3.3262000000204335,16,0.3400053759829343
28.209000000011493,2386,67.09499999948366,3.4000000000000004,17,0.3412149721122282
28.309000000011615,2395,62.594999999478176,3.4000000000000004,17,0.342424568241522
28.409000000011737,2404,58.09499999947263,3.4000000000000004,17,0.3436341643708159
28.50900000001186,2413,53.59499999946719,3.4000000000000004,17,0.34484376050010973
28.60900000001198,2422,49.094999999461706,3.4000000000000004,17,0.3460533566294036
28.709000000012104,2431,44.594999999456164,3.4000000000000004,17,0.3472629527586975
28.809000000012226,2440,40.09499999945068,3.4000000000000004,17,0.34847254888799134
28.909000000012348,2449,35.59499999944513,3.4000000000000004,17,0.34968214501728523
29.00900000001247,2458,31.094999999439697,3.4000000000000004,17,0.35089174114657906
29.109000000012593,2467,26.59499999943421,3.4000000000000004,17,0.35210133727587295
29.209000000012715,2476,22.094999999428666,3.4000000000000004,17,0.3533109334051668
29.309000000012837,2485,17.59499999942318,3.4000000000000004,17,0.35452052953446067
29.40900000001296,2494,13.094999999417634,3.4000000000000004,17,0.3557301256637545
29.50900000001308,2503,8.594999999412199,3.4000000000000004,17,0.3569397217930484
29.609000000013204,2512,4.0949999994067126,3.4000000000000004,17,0.3581493179223423
29.709000000013326,2520,0.25,3.4262000000239508,17,0.3593589140516361
29.809000000013448,2521,0.4050000006041583,3.6,18,0.36056851018093
29.90900000001357,2530,4.9050000006097045,3.6,18,0.36177810631022383
30.009000000013692,2539,9.405000000615189,3.6,18,0.3629877024395177
30.109000000013815,2548,13.905000000620625,3.6,18,0.36419729856881156
30.209000000013937,2557,18.40500000062617,3.6,18,0.36540689469810544
30.30900000001406,2566,22.905000000631656,3.6,18,0.36661649082739933
30.40900000001418,2575,27.4050000006372,3.6,18,0.36782608695669317
30.509000000014304,2584,31.905000000642687,3.6,18,0.36903568308598705
30.609000000014426,2593,36.40500000064812,3.6,18,0.3702452792152809
30.709000000014548,2602,40.90500000065367,3.6,18,0.3714548753445748
30.80900000001467,2611,45.40500000065916,3.6,18,0.3726644714738686
30.909000000014792,2620,49.9050000006647,3.6,18,0.3738740676031625
31.009000000014915,2629,54.405000000670185,3.6,18,0.3750836637324564
31.109000000015037,2638,58.90500000067562,3.6,18,0.3762932598617502
31.20900000001516,2647,63.40500000068117,3.6,18,0.3775028559910441
31.30900000001528,2656,67.90500000068666,3.6,18,0.37871245212033794
31.409000000015403,2660,69.75,3.7062000000276827,18,0.3799220482496318
31.509000000015526,2665,67.59499999930247,3.8000000000000003,19,0.38113164437892566
31.609000000015648,2674,63.09499999929693,3.8000000000000003,19,0.38234124050821955
31.70900000001577,2683,58.594999999291446,3.8000000000000003,19,0.3835508366375134
31.809000000015892,2692,54.09499999928601,3.8000000000000003,19,0.38476043276680727
31.909000000016015,2701,49.59499999928046,3.8000000000000003,19,0.38597002889610116
32.0090000000161,2710,45.094999999276624,3.8000000000000003,19,0.38717962502539455
32.110000000015866,2719,40.54999999928716,3.8000000000000003,19,0.38840131711597703
32.21100000001563,2728,36.00499999929763,3.8000000000000003,19,0.3896230092065595
32.312000000015395,2737,31.459999999308298,3.8000000000000003,19,0.39084470129714194
32.41300000001516,2746,26.91499999931896,3.8000000000000003,19,0.3920663933877244
